,move_00,move_1,rotate_angle,gACT,gMOD,gGTO,gSTA,gIMC,gFLT,gPRE,tcp_force,success,isDoll
0,"p[-0.504516,0.203282,0.52,-0.3,3.14,0]","p[-0.562656,0.130412,0.52,-0.3,3.14,0]",-2.02085,1,0,1,2,3,0,255,"p[-6.95867,-7.20523,9.22135,1.52532,-2.76256,-1.55238]",1,1.0
1,"p[-0.445874,0.0676025,0.52,-0.3,3.14,0]","p[-0.352004,0.0725182,0.52,-0.3,3.14,0]",-2.54185,1,0,1,1,3,0,255,"p[-5.12123,-17.1635,19.0928,-0.325988,-3.51499,-1.25515]",0,1.0
2,"p[-0.617192,0.193942,0.52,-0.3,3.14,0]","p[-0.623577,-0.0140795,0.52,-0.3,3.14,0]",-1.85121,1,0,1,2,3,0,255,"p[-26.9045,-12.7124,25.5342,2.35992,-6.38898,-2.87979]",1,1.0
3,"p[-0.608864,-0.0599632,0.52,-0.3,3.14,0]","p[-0.348426,-0.162112,0.52,-0.3,3.14,0]",1.67777,1,0,1,1,3,0,255,"p[-4.7255,-22.8542,16.3796,3.74571,-1.25538,-1.36631]",0,1.0
4,"p[-0.613721,-0.0891204,0.52,-0.3,3.14,0]","p[-0.333718,0.00214127,0.52,-0.3,3.14,0]",-1.98792,1,0,1,1,3,0,255,"p[-9.45823,-16.0662,17.3159,1.72092,-3.60683,-0.894083]",0,1.0
5,"p[-0.603509,0.0411818,0.52,-0.3,3.14,0]","p[-0.439348,-0.0917514,0.52,-0.3,3.14,0]",2.17381,1,0,1,2,3,0,255,"p[-6.60026,-15.6984,15.9334,2.43842,-2.52398,-0.287071]",0,1.0
6,"p[-0.546294,0.123865,0.52,-0.3,3.14,0]","p[-0.63066,0.0638453,0.52,-0.3,3.14,0]",3.13673,1,0,1,1,3,0,255,"p[-35.5635,-0.492006,30.6661,0.324583,-6.41569,-0.800459]",1,1.0
7,"p[-0.360576,0.105486,0.52,-0.3,3.14,0]","p[-0.387551,0.249237,0.52,-0.3,3.14,0]",-2.6219,1,0,1,2,3,0,255,"p[-29.0983,1.3755,26.7132,-2.46514,-6.08529,-1.68556]",1,1.0
8,"p[-0.566717,0.225871,0.52,-0.3,3.14,0]","p[-0.600388,0.0869603,0.52,-0.3,3.14,0]",-2.59432,1,0,1,3,3,0,255,"p[-7.91381,-6.10558,12.3017,1.25901,-2.45758,-1.08997]",0,1.0
9,"p[-0.430669,0.100654,0.52,-0.3,3.14,0]","p[-0.409214,-0.112484,0.52,-0.3,3.14,0]",-0.408001,1,0,1,2,3,0,255,"p[-3.792,-11.3566,6.1543,1.57834,-0.7023,-0.577884]",0,1.0
10,"p[-0.430455,-0.159209,0.52,-0.3,3.14,0]","p[-0.412789,-0.190797,0.52,-0.3,3.14,0]",0.670544,1,0,1,1,3,0,255,"p[9.42633,-13.1197,-2.78783,2.28409,1.94025,-1.91185]",0,1.0
11,"p[-0.453807,-0.162246,0.52,-0.3,3.14,0]","p[-0.520064,0.0377952,0.52,-0.3,3.14,0]",0.167911,1,0,1,1,3,0,255,"p[-7.85205,-13.9382,11.7571,1.76799,-1.45472,-1.48569]",1,1.0
12,"p[-0.568426,-0.154192,0.52,-0.3,3.14,0]","p[-0.521048,0.025195,0.52,-0.3,3.14,0]",-2.27259,1,0,1,2,3,0,255,"p[-5.73459,-15.4112,10.0752,2.16519,-1.17184,-0.685867]",0,1.0
13,"p[-0.399515,-0.042443,0.52,-0.3,3.14,0]","p[-0.394255,0.0593424,0.52,-0.3,3.14,0]",1.7006,1,0,1,2,3,0,255,"p[-14.3304,-10.5919,16.7171,2.10671,-3.45507,-0.366558]",1,1.0
14,"p[-0.393368,-0.142686,0.52,-0.3,3.14,0]","p[-0.387923,0.0506679,0.52,-0.3,3.14,0]",0.486647,1,0,1,3,3,0,255,"p[-2.62302,-20.5836,5.45796,2.60354,-3.02471,-1.82305]",0,1.0
15,"p[-0.329359,0.119312,0.52,-0.3,3.14,0]","p[-0.380808,-0.00477384,0.52,-0.3,3.14,0]",2.90305,1,0,1,3,3,0,255,"p[-5.16684,-11.2004,13.654,1.84524,-2.50828,-1.32629]",0,0.0
16,"p[-0.503558,0.070664,0.52,-0.3,3.14,0]","p[-0.481372,-0.0609302,0.52,-0.3,3.14,0]",1.94352,1,0,1,1,3,0,255,"p[1.89045,-9.57235,1.48495,2.64725,-0.548301,-0.061686]",0,1.0
17,"p[-0.567977,0.0507135,0.52,-0.3,3.14,0]","p[-0.632708,0.24658,0.52,-0.3,3.14,0]",0.431535,1,0,1,2,3,0,255,"p[-38.8276,8.46628,26.3305,-1.7988,-5.36594,-0.000721142]",1,1.0
18,"p[-0.62542,0.100589,0.52,-0.3,3.14,0]","p[-0.432039,-0.133471,0.52,-0.3,3.14,0]",1.28667,1,0,1,3,3,0,255,"p[1.2177,-11.7971,4.97395,1.44124,0.50422,-1.2965]",0,1.0
19,"p[-0.324406,-0.185444,0.52,-0.3,3.14,0]","p[-0.413184,-0.181229,0.52,-0.3,3.14,0]",-0.153557,1,0,1,1,3,0,255,"p[-7.61344,-16.8791,17.0943,2.9931,-1.8593,-0.293043]",0,1.0
20,"p[-0.496685,-0.0842776,0.52,-0.3,3.14,0]","p[-0.46448,-0.158759,0.52,-0.3,3.14,0]",-0.623664,1,0,1,3,3,0,255,"p[-3.61211,-14.2069,14.3285,1.75095,-1.40115,-2.76159]",0,1.0
21,"p[-0.505429,-0.188719,0.52,-0.3,3.14,0]","p[-0.389355,-0.0589918,0.52,-0.3,3.14,0]",-1.21988,1,0,1,3,3,0,255,"p[-6.3682,-19.0734,15.5278,2.36616,-2.90556,-0.873986]",0,1.0
22,"p[-0.481528,-0.0513274,0.52,-0.3,3.14,0]","p[-0.608574,-0.0132529,0.52,-0.3,3.14,0]",0.394615,1,0,1,1,3,0,255,"p[-21.2631,-14.2678,18.9125,1.49609,-5.16987,-1.11748]",1,1.0
23,"p[-0.581921,0.141693,0.52,-0.3,3.14,0]","p[-0.408348,0.163174,0.52,-0.3,3.14,0]",2.19024,1,0,1,1,3,0,255,"p[-11.744,-7.08484,-1.85614,1.64849,-0.998459,-0.119789]",1,1.0
24,"p[-0.496085,-0.192469,0.52,-0.3,3.14,0]","p[-0.427023,-0.168949,0.52,-0.3,3.14,0]",-2.13113,1,0,1,1,3,0,255,"p[-9.69596,-14.9604,20.0891,3.0208,-3.66709,-0.495279]",1,1.0
25,"p[-0.363736,0.11003,0.52,-0.3,3.14,0]","p[-0.505242,0.112497,0.52,-0.3,3.14,0]",-3.09108,1,0,1,3,3,0,255,"p[-14.2709,-11.2411,12.2722,1.99405,-2.95311,-1.45871]",0,1.0
26,"p[-0.417758,0.218174,0.52,-0.3,3.14,0]","p[-0.423469,0.153571,0.52,-0.3,3.14,0]",-1.87956,1,0,1,1,3,0,255,"p[-24.8985,-5.86838,26.1508,-1.00303,-4.84934,-1.96282]",0,1.0
27,"p[-0.405146,-0.019106,0.52,-0.3,3.14,0]","p[-0.571969,-0.176728,0.52,-0.3,3.14,0]",2.25307,1,0,1,2,3,0,255,"p[-8.77973,-10.4133,18.9049,2.18839,-3.97722,-0.266826]",1,1.0
28,"p[-0.634479,0.0616109,0.52,-0.3,3.14,0]","p[-0.553486,0.0189519,0.52,-0.3,3.14,0]",0.348926,1,0,1,1,3,0,255,"p[-0.962414,-13.0722,4.17664,1.08988,-0.828956,-0.959406]",0,1.0
29,"p[-0.607756,0.15729,0.52,-0.3,3.14,0]","p[-0.556349,-0.197966,0.52,-0.3,3.14,0]",1.24946,1,0,1,3,3,0,255,"p[-27.0057,-15.3163,26.1158,2.99961,-4.67292,0.327654]",0,1.0
30,"p[-0.384996,-0.177925,0.52,-0.3,3.14,0]","p[-0.553227,0.0219369,0.52,-0.3,3.14,0]",-1.38847,1,0,1,3,3,0,255,"p[-4.04742,-15.8137,7.05581,1.53025,-1.67967,-2.48715]",0,1.0
31,"p[-0.398536,-0.106265,0.52,-0.3,3.14,0]","p[-0.478272,0.0232021,0.52,-0.3,3.14,0]",0.299689,1,0,1,3,3,0,255,"p[-13.2515,-8.11036,22.5047,0.144355,-4.39582,-0.16945]",0,1.0
32,"p[-0.574625,-0.0765112,0.52,-0.3,3.14,0]","p[-0.454142,0.126051,0.52,-0.3,3.14,0]",-1.81418,1,0,1,1,3,0,255,"p[-13.3265,-15.5069,2.55556,1.45572,-1.52004,-1.26633]",0,1.0
33,"p[-0.469777,-0.134359,0.52,-0.3,3.14,0]","p[-0.573004,-0.053364,0.52,-0.3,3.14,0]",-1.06522,1,0,1,2,3,0,255,"p[6.69661,-9.8772,-3.31944,2.09546,0.891393,-1.00426]",1,1.0
34,"p[-0.459517,0.142196,0.52,-0.3,3.14,0]","p[-0.329681,0.078882,0.52,-0.3,3.14,0]",-2.4308,1,0,1,3,3,0,255,"p[-7.33543,-12.9094,12.4276,0.00353596,-2.39286,-1.04543]",0,1.0
35,"p[-0.579981,0.14037,0.52,-0.3,3.14,0]","p[-0.449306,-0.188386,0.52,-0.3,3.14,0]",0.13699,1,0,1,3,3,0,255,"p[-10.7132,-21.6699,12.5414,3.39761,-2.11207,-1.0726]",0,1.0
36,"p[-0.509738,-0.148427,0.52,-0.3,3.14,0]","p[-0.342947,-0.0440511,0.52,-0.3,3.14,0]",-2.69343,1,0,1,3,3,0,255,"p[-16.5577,-32.1039,16.9604,3.85824,-3.11829,-3.34741]",0,1.0
37,"p[-0.400785,0.0655217,0.52,-0.3,3.14,0]","p[-0.413135,0.114402,0.52,-0.3,3.14,0]",-2.98595,1,0,1,1,3,0,255,"p[-18.8282,-8.28257,18.5666,-0.0683012,-3.31047,-0.914743]",1,1.0
38,"p[-0.543002,0.0393074,0.52,-0.3,3.14,0]","p[-0.43712,-0.155655,0.52,-0.3,3.14,0]",1.37081,1,0,1,2,3,0,255,"p[-4.87531,-13.5697,16.4295,1.66582,-3.09513,-1.1216]",1,1.0
39,"p[-0.353568,-0.14585,0.52,-0.3,3.14,0]","p[-0.5943,0.200295,0.52,-0.3,3.14,0]",2.60841,1,0,1,2,3,0,255,"p[-41.473,3.42014,36.0883,-2.6779,-7.51543,-0.804006]",0,1.0
40,"p[-0.597658,-0.157475,0.52,-0.3,3.14,0]","p[-0.464265,-0.0126414,0.52,-0.3,3.14,0]",1.65105,1,0,1,3,3,0,255,"p[-7.5039,-10.6924,18.0139,1.63872,-3.9307,0.0256181]",0,1.0
41,"p[-0.517383,0.242227,0.52,-0.3,3.14,0]","p[-0.595225,0.17932,0.52,-0.3,3.14,0]",0.261288,1,0,1,1,3,0,255,"p[-17.366,-7.66444,14.699,-0.118456,-3.48239,-1.9032]",0,1.0
42,"p[-0.421868,-0.125683,0.52,-0.3,3.14,0]","p[-0.506825,0.243006,0.52,-0.3,3.14,0]",-2.61875,1,0,1,1,3,0,255,"p[-34.4796,-3.9893,23.471,-0.569636,-5.52967,-2.85942]",1,1.0
43,"p[-0.646428,-0.0626195,0.52,-0.3,3.14,0]","p[-0.584424,-0.159096,0.52,-0.3,3.14,0]",3.01717,1,0,1,2,3,0,255,"p[-19.4597,-14.6221,17.2877,2.55509,-2.62542,-0.144313]",0,1.0
44,"p[-0.41977,0.184996,0.52,-0.3,3.14,0]","p[-0.615612,-0.135324,0.52,-0.3,3.14,0]",0.377279,1,0,1,2,3,0,255,"p[-21.7261,-3.79759,24.9337,0.415206,-4.83973,-0.3002]",1,1.0
45,"p[-0.37252,0.177847,0.52,-0.3,3.14,0]","p[-0.426584,0.140778,0.52,-0.3,3.14,0]",0.629372,1,0,1,3,3,0,255,"p[-12.9054,-5.94371,20.1582,-0.978758,-3.83545,-1.90492]",0,1.0
46,"p[-0.450403,-0.0770411,0.52,-0.3,3.14,0]","p[-0.366802,0.116734,0.52,-0.3,3.14,0]",1.18259,1,0,1,3,3,0,255,"p[-17.3267,-14.0512,17.0437,0.592199,-3.06718,-0.478699]",0,1.0
47,"p[-0.364661,0.0830524,0.52,-0.3,3.14,0]","p[-0.574533,-0.14397,0.52,-0.3,3.14,0]",-1.78724,1,0,1,2,3,0,255,"p[2.72939,-7.97613,5.00067,1.29579,-0.122278,-1.48048]",1,1.0
48,"p[-0.438773,-0.107708,0.52,-0.3,3.14,0]","p[-0.38463,0.0980139,0.52,-0.3,3.14,0]",1.92153,1,0,1,3,3,0,255,"p[-17.2523,-18.2772,12.5961,0.75869,-2.50828,-1.55734]",0,1.0
49,"p[-0.323527,-0.008929,0.52,-0.3,3.14,0]","p[-0.440798,-0.123572,0.52,-0.3,3.14,0]",2.68234,1,0,1,3,3,0,255,"p[2.25487,-7.39913,3.57384,1.35961,-0.871638,-0.0736592]",0,1.0
50,"p[-0.348594,0.180715,0.52,-0.3,3.14,0]","p[-0.494023,0.016815,0.52,-0.3,3.14,0]",-1.97403,1,0,1,3,3,0,255,"p[-12.8121,-10.7555,18.4921,1.12533,-2.55204,-1.30314]",0,1.0
51,"p[-0.50403,-0.0302923,0.52,-0.3,3.14,0]","p[-0.608412,0.111851,0.52,-0.3,3.14,0]",1.99399,1,0,1,2,3,0,255,"p[-20.2693,-6.97864,13.6212,-0.0907665,-4.14298,-0.280903]",1,1.0
52,"p[-0.630342,-0.101952,0.52,-0.3,3.14,0]","p[-0.330864,-0.0648436,0.52,-0.3,3.14,0]",2.90513,1,0,1,2,3,0,255,"p[-2.7653,-21.1235,16.5772,3.57651,-3.92328,-1.59202]",0,1.0
53,"p[-0.479594,-0.0558138,0.52,-0.3,3.14,0]","p[-0.573631,0.0224371,0.52,-0.3,3.14,0]",1.03083,1,0,1,3,3,0,255,"p[-14.1864,-4.02388,12.1942,0.486574,-2.01959,-0.736015]",0,1.0
54,"p[-0.323062,0.17065,0.52,-0.3,3.14,0]","p[-0.515119,-0.156832,0.52,-0.3,3.14,0]",0.488209,1,0,1,2,3,0,255,"p[-9.85171,-11.1421,15.7281,1.8944,-1.97697,0.380891]",1,1.0
