,move_00,move_1,rotate_angle,gACT,gMOD,gGTO,gSTA,gIMC,gFLT,gPRE,tcp_force,success
0,"p[-0.302521,-0.362157,0.5,1.5708,-2.7925,0]","p[-0.447345,-0.216255,0.499944,-1.50972,2.68358,-2.7288e-05]",0.962372,1,0,1,2,3,0,255,"p[-12.579,-23.3793,8.80444,3.12925,-1.60157,-0.482704]",1
1,"p[-0.326847,-0.479357,0.5,1.5708,-2.7925,0]","p[-0.224187,-0.407386,0.500007,-1.50964,2.68387,0.00010902]",1.68092,1,0,1,2,3,0,255,"p[8.41335,-11.122,-5.9196,0.542631,2.59685,-2.24857]",1
2,"p[-0.39103,-0.552673,0.5,1.5708,-2.7925,0]","p[-0.446128,-0.172036,0.500053,-1.5096,2.68371,-0.000153524]",-0.394026,1,0,1,2,3,0,255,"p[-6.78896,-17.6805,2.02979,2.73168,-2.4957,-0.658784]",1
3,"p[-0.341977,-0.268148,0.5,1.5708,-2.7925,0]","p[-0.407027,-0.399198,0.499982,-1.50976,2.68371,-8.18653e-06]",0.850957,1,0,1,2,3,0,255,"p[2.15868,-15.7342,-0.275717,2.08471,0.581239,-1.32222]",1
4,"p[-0.439522,-0.438827,0.5,1.5708,-2.7925,0]","p[-0.453599,-0.443435,0.500018,-1.50977,2.68373,-0.000124337]",-1.8421,1,0,1,1,3,0,255,"p[-1.76936,-16.9613,0.691863,4.00959,-0.490534,-0.672595]",1
5,"p[-0.478299,-0.411866,0.5,1.5708,-2.7925,0]","p[-0.471528,-0.282434,0.499989,-1.5097,2.6837,-0.00010728]",1.07036,1,0,1,2,3,0,255,"p[-6.27185,-19.2195,-3.35688,2.22789,2.15199,-2.86307]",1
6,"p[-0.362978,-0.457857,0.5,1.5708,-2.7925,0]","p[-0.448573,-0.260873,0.499939,-1.50963,2.68358,-0.000102462]",-3.10722,1,0,1,3,3,0,255,"p[-18.2767,-19.2507,14.2872,2.83959,-3.61204,-0.257495]",0
7,"p[-0.409806,-0.254991,0.5,1.5708,-2.7925,0]","p[-0.56222,-0.323858,0.499957,-1.50975,2.68365,-6.87992e-06]",-2.1253,1,0,1,2,3,0,255,"p[-5.81577,-8.11798,-4.1378,-0.178494,-0.964481,0.406473]",1
8,"p[-0.465814,-0.301723,0.5,1.5708,-2.7925,0]","p[-0.43028,-0.421286,0.500016,-1.50975,2.68388,5.86118e-05]",-1.61613,1,0,1,1,3,0,255,"p[-22.3271,-9.56882,6.91851,0.926341,-1.57479,0.0449586]",1
9,"p[-0.384838,-0.251804,0.5,1.5708,-2.7925,0]","p[-0.407027,-0.399198,0.49996,-1.50983,2.68358,-7.74867e-06]",-1.72625,1,0,1,2,3,0,255,"p[-1.86608,-8.84951,2.30748,1.97105,-0.569157,-0.672286]",1
